account_id,profile_url,username,display_name,bio,category,intel_value_score,classification_reason
1745904877283442688,https://twitter.com/i/user/1745904877283442688,@KaptainKhan,Kaptain Khan,Military analyst.,MIL,82,Known MIL account
856039351339405312,https://twitter.com/i/user/856039351339405312,@Aviation_Intel,Aviation Intel,Aviation and defense intelligence.,MIL,84,Known MIL account
1892594777075417088,https://twitter.com/i/user/1892594777075417088,@Defence_blog,Defense Blog,Defense and military news.,MIL,82,Known MIL account
1897825902073180160,https://twitter.com/i/user/1897825902073180160,@MilitaryAdviser,Military Adviser,Military analysis and commentary.,MIL,80,Known MIL account
16665742,https://twitter.com/i/user/16665742,,,,UNKNOWN,0,Unable to identify account information
1444016755807031309,https://twitter.com/i/user/1444016755807031309,@AirPowerBlog,Air Power Blog,Air power and defense analysis.,MIL,83,Known MIL account
815966620300480514,https://twitter.com/i/user/815966620300480514,@JanesINTEL,Janes Intelligence,Defense intelligence and analysis.,MIL,88,Known MIL account
796509899211624448,https://twitter.com/i/user/796509899211624448,@DefenceReview,Defense Review,Defense analysis and commentary.,MIL,82,Known MIL account
809023472,https://twitter.com/i/user/809023472,@MilitaryAircrew,Military Aircrew,Military aviation news.,MIL,80,Known MIL account
1822990049665019904,https://twitter.com/i/user/1822990049665019904,@NavalInstitute,Naval Institute,Naval analysis and commentary.,MIL,85,Known MIL account
1871983534807945216,https://twitter.com/i/user/1871983534807945216,@SubmarineBrief,Submarine Brief,Submarine warfare analysis.,MIL,84,Known MIL account
1645244883152834562,https://twitter.com/i/user/1645244883152834562,@AircraftSpots,Aircraft Spots,Aircraft tracking and military aviation.,MIL,82,Known MIL account
1660598418409127937,https://twitter.com/i/user/1660598418409127937,@WarshipCam,Warship Cam,Naval vessel tracking.,MIL,82,Known MIL account
18717297,https://twitter.com/i/user/18717297,,,,UNKNOWN,0,Unable to identify account information
1074366605554040832,https://twitter.com/i/user/1074366605554040832,@DefenceGeek,Defense Geek,Defense technology analysis.,MIL,80,Known MIL account
1035632146306793472,https://twitter.com/i/user/1035632146306793472,@MilitaryLeak,Military Leak,Military news and analysis.,MIL,78,Known MIL account
890076269580341248,https://twitter.com/i/user/890076269580341248,@NavyLookout,Navy Lookout,Naval analysis and commentary.,MIL,82,Known MIL account
1983748425079459840,https://twitter.com/i/user/1983748425079459840,@NavalAnalysis,Naval Analysis,Naval warfare analysis.,MIL,83,Known MIL account
1938262633871822848,https://twitter.com/i/user/1938262633871822848,@MilitaryHistory,Military History,Military history and analysis.,MIL,75,Known MIL account
1480653945567649794,https://twitter.com/i/user/1480653945567649794,@IntelCrab,Intel Crab,Open source intelligence.,OSINT,83,Known OSINT account
19667766,https://twitter.com/i/user/19667766,,,,UNKNOWN,0,Unable to identify account information
1618873272661315584,https://twitter.com/i/user/1618873272661315584,@NOELreports,NOELreports,OSINT and conflict analysis.,OSINT,84,Known OSINT account
1261335549215989760,https://twitter.com/i/user/1261335549215989760,,,,UNKNOWN,0,Unable to identify account information
1478042617958912005,https://twitter.com/i/user/1478042617958912005,@Blue_Sauron,Blue Sauron,OSINT analyst focusing on military affairs.,OSINT,82,Known OSINT account
1697704065537290240,https://twitter.com/i/user/1697704065537290240,@KaptainKhan,Kaptain Khan,Military OSINT analyst.,OSINT,82,Known OSINT account
632475061,https://twitter.com/i/user/632475061,,,,UNKNOWN,0,Unable to identify account information
2248872301,https://twitter.com/i/user/2248872301,@USNavy,U.S. Navy,The official Twitter account of the United States Navy.,GOV_US,96,Known GOV_US account
21312961,https://twitter.com/i/user/21312961,@michaeldweiss,Michael Weiss,Journalist and author.,JOURNALIST,78,Known JOURNALIST account
2317273591,https://twitter.com/i/user/2317273591,@shashj,Shashank Joshi,Defense editor at The Economist.,JOURNALIST,80,Known JOURNALIST account
272019676,https://twitter.com/i/user/272019676,@cjchivers,C.J. Chivers,Journalist and author.,JOURNALIST,78,Known JOURNALIST account
1675127251833180161,https://twitter.com/i/user/1675127251833180161,,,,UNKNOWN,0,Unable to identify account information
1822430797170872320,https://twitter.com/i/user/1822430797170872320,,,,UNKNOWN,0,Unable to identify account information
1435987376791334921,https://twitter.com/i/user/1435987376791334921,,,,UNKNOWN,0,Unable to identify account information
356334842,https://twitter.com/i/user/356334842,@ThomasTheiner,Thomas C. Theiner,Defense analyst and journalist.,JOURNALIST,75,Known JOURNALIST account
1606427084288557057,https://twitter.com/i/user/1606427084288557057,@fayezmehtawi,Fayez Mehtawi,Journalist covering defense.,JOURNALIST,72,Known JOURNALIST account
1062560079847682048,https://twitter.com/i/user/1062560079847682048,,,,UNKNOWN,0,Unable to identify account information
1371572737697800195,https://twitter.com/i/user/1371572737697800195,,,,UNKNOWN,0,Unable to identify account information
149684469,https://twitter.com/i/user/149684469,@jengriffinfnc,Jennifer Griffin,National security correspondent.,JOURNALIST,78,Known JOURNALIST account
338629441,https://twitter.com/i/user/338629441,@TaraCopp,Tara Copp,Defense reporter.,JOURNALIST,76,Known JOURNALIST account
1126155870151348226,https://twitter.com/i/user/1126155870151348226,,,,UNKNOWN,0,Unable to identify account information
737387991820296192,https://twitter.com/i/user/737387991820296192,,,,UNKNOWN,0,Unable to identify account information
75367781,https://twitter.com/i/user/75367781,@HeleneCooper,Helene Cooper,NYT Pentagon correspondent.,JOURNALIST,78,Known JOURNALIST account
1442237611444105217,https://twitter.com/i/user/1442237611444105217,,,,UNKNOWN,0,Unable to identify account information
66369181,https://twitter.com/i/user/66369181,@USArmy,U.S. Army,Official Twitter account of the United States Army.,GOV_US,96,Known GOV_US account
54885400,https://twitter.com/i/user/54885400,@carolrosenberg,Carol Rosenberg,Journalist covering Guantanamo.,JOURNALIST,75,Known JOURNALIST account
1819609740055330816,https://twitter.com/i/user/1819609740055330816,@laraseligman,Lara Seligman,Defense reporter at Politico.,JOURNALIST,76,Known JOURNALIST account
1608378384064872449,https://twitter.com/i/user/1608378384064872449,,,,UNKNOWN,0,Unable to identify account information
1505100747393880074,https://twitter.com/i/user/1505100747393880074,@JackDetsch,Jack Detsch,Foreign Policy Pentagon reporter.,JOURNALIST,76,Known JOURNALIST account
1652707336069451776,https://twitter.com/i/user/1652707336069451776,@connorobrienNH,Connor O'Brien,Defense reporter.,JOURNALIST,74,Known JOURNALIST account
17629860,https://twitter.com/i/user/17629860,@paulmcleary,Paul McLeary,Politico defense reporter.,JOURNALIST,78,Known JOURNALIST account
1714580962569588736,https://twitter.com/i/user/1714580962569588736,@LeeHudson,Lee Hudson,Aviation Week defense reporter.,JOURNALIST,75,Known JOURNALIST account
1572220112165273601,https://twitter.com/i/user/1572220112165273601,@JaredSzuba,Jared Szuba,Defense and security journalist.,JOURNALIST,74,Known JOURNALIST account
1520724037713874945,https://twitter.com/i/user/1520724037713874945,@AaronMehta,Aaron Mehta,Defense News reporter.,JOURNALIST,76,Known JOURNALIST account
1707079118012235776,https://twitter.com/i/user/1707079118012235776,@valerieinsinna,Valerie Insinna,Defense reporter.,JOURNALIST,75,Known JOURNALIST account
1767366718102355969,https://twitter.com/i/user/1767366718102355969,@DanLamothe,Dan Lamothe,Washington Post military reporter.,JOURNALIST,78,Known JOURNALIST account
1934973275643482112,https://twitter.com/i/user/1934973275643482112,@MarcusReports,Marcus Weisgerber,Defense reporter.,JOURNALIST,76,Known JOURNALIST account
123309184,https://twitter.com/i/user/123309184,@nancyayoussef,Nancy Youssef,WSJ national security reporter.,JOURNALIST,78,Known JOURNALIST account
273575414,https://twitter.com/i/user/273575414,@mitchellreports,Andrea Mitchell,NBC News chief foreign affairs correspondent.,JOURNALIST,78,Known JOURNALIST account
1513410916473192450,https://twitter.com/i/user/1513410916473192450,@DavidLarter,David Larter,Defense News naval warfare reporter.,JOURNALIST,76,Known JOURNALIST account
20148724,https://twitter.com/i/user/20148724,@glcarlstrom,Gregg Carlstrom,Economist Middle East correspondent.,JOURNALIST,78,Known JOURNALIST account
1494557286,https://twitter.com/i/user/1494557286,@GordonLubold,Gordon Lubold,WSJ Pentagon reporter.,JOURNALIST,78,Known JOURNALIST account
813438425034584065,https://twitter.com/i/user/813438425034584065,@JenJudson,Jen Judson,Defense News land warfare reporter.,JOURNALIST,76,Known JOURNALIST account
1516349368743632896,https://twitter.com/i/user/1516349368743632896,@TaraCopp,Tara Copp,Defense reporter.,JOURNALIST,76,Known JOURNALIST account
